City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Concepcion Del Oro,MX,2021-08-09 04:05:58,24.6333,-101.4167,70.18,48,22,10.04
220,Orange Cove,US,2021-08-09 04:05:58,36.6244,-119.3137,91.06,44,1,4.61
221,Agadez,NE,2021-08-09 04:03:05,19.75,10.25,86.52,36,61,11.41
222,Batagay-Alyta,RU,2021-08-09 04:05:59,67.8006,130.4114,78.3,19,8,7.14
223,Sept-Iles,CA,2021-08-09 04:02:02,50.2001,-66.3821,51.06,81,0,1.01
224,Portmore,JM,2021-08-09 04:05:59,17.9702,-76.8672,82.36,84,20,6.91
225,Mount Isa,AU,2021-08-09 04:01:21,-20.7333,139.5,80.37,19,0,6.91
226,Komarovo,RU,2021-08-09 04:06:00,60.1841,29.8175,62.8,93,90,7.52
227,Rincon,US,2021-08-09 04:06:00,32.296,-81.2354,79.86,92,75,0.0
228,Qaanaaq,GL,2021-08-09 04:06:01,77.484,-69.3632,36.82,67,94,7.81
229,Kanniyakumari,IN,2021-08-09 04:06:01,8.0833,77.5667,82.44,77,97,18.57
230,Guerrero Negro,MX,2021-08-09 04:06:01,27.9769,-114.0611,70.52,83,2,15.75
231,Sao Mateus Do Maranhao,BR,2021-08-09 04:06:02,-4.0417,-44.475,71.67,82,11,4.34
232,Anloga,GH,2021-08-09 04:06:02,5.7947,0.8973,75.36,90,94,12.53
233,Nikolskoye,RU,2021-08-09 04:06:03,59.7035,30.7861,63.01,94,76,5.61
234,Dingli,MT,2021-08-09 04:06:03,35.8614,14.3822,77.81,94,75,3.44
235,Port-Gentil,GA,2021-08-09 04:06:04,-0.7193,8.7815,75.06,83,98,11.54
236,Manakara,MG,2021-08-09 04:03:24,-22.1333,48.0167,64.02,92,28,5.59
237,Andijon,UZ,2021-08-09 04:06:04,40.7821,72.3442,90.68,39,0,4.61
238,Illela,NG,2021-08-09 04:06:05,13.7292,5.2975,78.82,73,65,14.5
239,Andenes,NO,2021-08-09 04:06:05,69.3143,16.1194,58.98,82,0,11.5
240,Baykit,RU,2021-08-09 04:06:05,61.67,96.37,69.87,60,70,5.55
241,Assiniboia,CA,2021-08-09 04:06:06,49.6334,-105.9845,64.47,48,78,9.57
242,Ayan,RU,2021-08-09 04:06:06,56.45,138.1667,58.89,62,0,12.71
243,La Rioja,ES,2021-08-09 04:06:07,42.25,-2.5,53.38,82,0,5.06
244,Mangrol,IN,2021-08-09 04:06:07,21.1167,70.1167,82.27,73,98,10.11
245,Saint-Ambroise,CA,2021-08-09 04:06:07,48.5501,-71.3324,54.99,67,98,6.15
246,Meadow Lake,US,2021-08-09 04:02:40,34.8014,-106.5436,81.88,17,28,4.97
247,Noyabrsk,RU,2021-08-09 04:06:08,63.1994,75.4507,68.25,60,63,11.99
248,Half Moon Bay,US,2021-08-09 04:06:09,37.4636,-122.4286,71.19,86,1,6.91
249,Valentin Gomez Farias,MX,2021-08-09 04:06:09,28.2167,-106.5833,68.02,70,49,5.91
250,Bikin,RU,2021-08-09 04:06:09,46.8161,134.26,59.86,89,100,3.15
251,Pokaran,IN,2021-08-09 04:06:10,26.9167,71.9167,89.56,49,4,16.22
252,Narsaq,GL,2021-08-09 04:06:10,60.9167,-46.05,44.82,84,3,4.52
253,Dikson,RU,2021-08-09 04:06:11,73.5069,80.5464,41.99,96,75,9.55
254,Kruisfontein,ZA,2021-08-09 04:06:11,-34.0033,24.7314,52.88,83,100,20.76
255,Magadan,RU,2021-08-09 04:03:16,59.5667,150.8,62.01,61,29,6.04
256,Praia Da Vitoria,PT,2021-08-09 04:06:12,38.7333,-27.0667,70.75,93,47,15.43
257,Boa Vista,BR,2021-08-09 04:06:12,2.8197,-60.6733,78.78,83,40,2.3
258,Brigantine,US,2021-08-09 04:06:12,39.4101,-74.3646,70.02,94,90,3.44
259,Pangnirtung,CA,2021-08-09 04:06:13,66.1451,-65.7125,43.93,92,100,7.14
260,Mandan,US,2021-08-09 04:06:13,46.8267,-100.8896,84.04,54,1,12.66
261,Barrow,US,2021-08-09 04:06:14,71.2906,-156.7887,37.42,88,90,6.91
262,Mount Gambier,AU,2021-08-09 04:06:14,-37.8333,140.7667,60.22,58,7,10.33
263,Gazojak,TM,2021-08-09 04:06:15,41.1875,61.4036,88.14,16,0,11.88
264,Xixiang,CN,2021-08-09 04:06:15,35.1628,112.865,90.21,54,7,5.35
265,Lat Yao,TH,2021-08-09 04:06:15,15.751,99.7893,93.24,49,61,2.42
266,Dukat,RU,2021-08-09 04:06:16,62.55,155.55,60.46,45,6,8.1
267,Paamiut,GL,2021-08-09 04:06:16,61.994,-49.6678,43.43,84,92,6.89
268,Evanston,US,2021-08-09 04:02:39,42.0411,-87.6901,73.96,85,100,3.0
269,Katsuura,JP,2021-08-09 04:06:17,35.1333,140.3,84.24,86,65,31.05
270,San Pedro,PH,2021-08-09 04:06:17,14.35,121.0167,88.32,72,93,9.31
271,Kenai,US,2021-08-09 04:02:38,60.5544,-151.2583,54.09,93,90,10.36
272,Luderitz,NA,2021-08-09 04:06:18,-26.6481,15.1594,54.27,81,46,7.31
273,Baruun-Urt,MN,2021-08-09 04:06:18,46.6806,113.2792,69.76,54,60,9.48
274,Banikoara,BJ,2021-08-09 04:06:18,11.2985,2.4386,72.3,93,100,6.02
275,Gambela,ET,2021-08-09 04:06:19,8.25,34.5833,70.18,86,99,2.24
276,Porto Velho,BR,2021-08-09 04:06:20,-8.7619,-63.9039,75.25,73,0,0.0
277,Chimbote,PE,2021-08-09 04:05:33,-9.0853,-78.5783,63.09,82,41,10.29
278,Pangkalanbuun,ID,2021-08-09 04:06:21,-2.6833,111.6167,84.61,75,99,3.49
279,Thompson,CA,2021-08-09 04:06:21,55.7435,-97.8558,59.7,83,94,6.4
280,Kashi,CN,2021-08-09 04:06:22,39.4547,75.9797,81.18,27,0,3.27
281,Khargone,IN,2021-08-09 04:06:22,21.8167,75.6,82.22,73,100,8.81
282,Eureka,US,2021-08-09 04:06:22,40.8021,-124.1637,59.36,77,1,2.77
283,Lata,PT,2021-08-09 04:06:23,40.1629,-8.3327,58.82,97,63,2.01
284,Muana,BR,2021-08-09 04:06:23,-1.5283,-49.2167,77.9,81,100,3.6
285,Langnau,CH,2021-08-09 04:06:24,46.9394,7.7874,56.1,93,80,3.62
286,Qaqortoq,GL,2021-08-09 04:06:24,60.7167,-46.0333,45.1,90,0,0.85
287,Antalaha,MG,2021-08-09 04:06:24,-14.9003,50.2788,67.42,80,4,5.08
288,Havelock,US,2021-08-09 04:06:25,34.8791,-76.9013,77.95,94,1,1.45
289,Muisne,EC,2021-08-09 04:06:25,0.6,-80.0333,74.43,84,99,6.67
290,Biak,ID,2021-08-09 04:06:25,-0.9131,122.8766,80.89,76,60,6.8
291,Farafangana,MG,2021-08-09 04:06:26,-22.8167,47.8333,64.15,90,40,6.98
292,Cuiluan,CN,2021-08-09 04:06:26,47.72,128.648,70.18,60,24,10.09
293,Barcelona,ES,2021-08-09 04:06:05,41.3888,2.159,73.72,67,0,8.05
294,Tornio,FI,2021-08-09 04:06:27,65.8481,24.1466,59.02,96,100,12.59
