City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
304,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
305,Niceville,US,85.91,clear sky,30.5169,-86.4822,Hampton Inn Niceville-Eglin Air Force Base
306,Meulaboh,ID,78.12,overcast clouds,4.1363,96.1285,Kost Pria
312,Itaueira,BR,78.4,scattered clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
316,Ewa Beach,US,87.75,clear sky,21.3156,-158.0072,Uncle Junior Robert
320,Port-Gentil,GA,75.81,broken clouds,-0.7193,8.7815,Fengshui Residence
324,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
326,Katobu,ID,85.21,scattered clouds,-4.9408,122.5276,La Ode Husein
329,Kieta,PG,84.33,clear sky,-6.2167,155.6333,Uruna Bay Retreat
331,Buchanan,LR,75.24,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
333,Presidente Medici,BR,80.08,scattered clouds,-11.1753,-61.9014,Oliveira Palace Hotel
337,Inirida,CO,75.15,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
339,Hita,JP,84.99,overcast clouds,33.3167,130.9333,Hinano Sato Sanyokan
341,Boyolangu,ID,81.37,broken clouds,-8.1181,111.8935,Yos ega cv
342,Eunice,US,82.87,overcast clouds,30.4944,-92.4176,"Holiday Inn Express Eunice, an IHG Hotel"
344,Gizo,SB,83.28,clear sky,-8.103,156.8419,Imagination Island
345,Miyako,JP,79.05,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
346,Saldana,CO,79.79,broken clouds,3.9292,-75.0152,Granja Hostal Tolcaribe
347,Teknaf,BD,84.36,scattered clouds,20.8624,92.3058,Forestry Guesthouse
348,Keshod,IN,81.54,overcast clouds,21.3,70.25,Hotel New Rajdhani
366,Hobyo,SO,76.05,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
367,Katherine,AU,89.92,clear sky,-14.4667,132.2667,Pine Tree Motel
369,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
371,Kununurra,AU,87.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
374,Sanand,IN,84.42,overcast clouds,22.9833,72.3833,OYO Flagship 22887 Hotel Prerna Narmada Vasahat
376,Dingle,PH,75.63,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
377,Progreso,MX,82.51,clear sky,21.2833,-89.6667,Playa Linda Hotel
380,Santa Marta,CO,84.25,scattered clouds,11.2408,-74.199,Casa de Isabella
381,Kloulklubed,PW,82.9,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
385,Mahibadhoo,MV,82.72,overcast clouds,3.7833,72.9667,Omadhoo Inn
391,Pontianak,ID,87.78,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
393,Aloleng,PH,84.09,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
394,Anito,PH,78.3,overcast clouds,12.4497,125.2886,"Romeo Alota Property Brgy.Libertad,GamaY,Northern Samar"
396,Linjiang,CN,77.94,overcast clouds,41.8069,126.9078,格林豪泰
398,Palembang,ID,87.89,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
399,Bayji,IQ,86.27,clear sky,34.9311,43.487,مروان /عدنان
400,Majene,ID,84.47,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
405,Naze,JP,85.12,scattered clouds,28.3667,129.4833,Amami Port Tower Hotel
407,Telhara,IN,80.11,light rain,21.0269,76.8389,Raj Pan Palace
408,Jabinyanah,TN,78.6,clear sky,35.035,10.9081,maison belmabrouk
