City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
167,Georgetown,MY,2021-08-10 03:24:50,5.4112,100.3354,85.93,86,40,6.91,scattered clouds
168,Coquimbo,CL,2021-08-10 03:24:51,-29.9533,-71.3436,49.73,87,0,4.61,clear sky
169,Dikson,RU,2021-08-10 03:24:51,73.5069,80.5464,40.91,92,100,12.48,overcast clouds
170,Lucapa,AO,2021-08-10 03:24:52,-8.4192,20.7447,63.61,35,0,3.65,clear sky
171,Penzance,GB,2021-08-10 03:24:52,50.1186,-5.5371,58.21,91,0,9.26,clear sky
172,Santa Cruz,BO,2021-08-10 03:24:52,-17.8,-63.1667,74.66,41,20,16.11,few clouds
173,Iqaluit,CA,2021-08-10 03:24:53,63.7506,-68.5145,44.33,70,75,12.66,broken clouds
174,Bara,NG,2021-08-10 03:24:53,10.3744,10.7288,73.15,89,100,3.96,overcast clouds
175,Yerbogachen,RU,2021-08-10 03:20:12,61.2767,108.0108,73.9,41,19,8.01,few clouds
176,Menongue,AO,2021-08-10 03:24:54,-14.6585,17.691,52.92,33,0,4.72,clear sky
177,Mount Darwin,ZW,2021-08-10 03:24:54,-16.7725,31.5838,50.09,70,0,2.73,clear sky
178,Kodiak,US,2021-08-10 03:20:16,57.79,-152.4072,51.31,99,100,5.35,light rain
179,Nome,US,2021-08-10 03:24:55,64.5011,-165.4064,60.17,64,40,6.91,scattered clouds
180,Arkhara,RU,2021-08-10 03:24:55,49.4212,130.0842,62.8,68,98,2.55,overcast clouds
181,Ocos,GT,2021-08-10 03:24:56,14.5094,-92.1933,82.31,79,99,2.57,overcast clouds
182,Talnakh,RU,2021-08-10 03:24:56,69.4865,88.3972,55.96,87,98,8.61,overcast clouds
183,Lavrentiya,RU,2021-08-10 03:24:57,65.5833,-171.0,47.14,68,82,7.65,broken clouds
184,Suluq,LY,2021-08-10 03:24:58,31.6682,20.2521,77.97,63,0,9.89,clear sky
185,Tyrma,RU,2021-08-10 03:24:58,50.0833,132.1667,68.16,50,42,5.66,scattered clouds
186,Orumiyeh,IR,2021-08-10 03:24:59,37.5527,45.0761,60.35,55,0,6.91,clear sky
187,Koryazhma,RU,2021-08-10 03:24:59,61.3143,47.1691,54.93,93,91,5.46,overcast clouds
188,Sioux Lookout,CA,2021-08-10 03:21:32,50.1001,-91.917,70.18,73,26,3.62,scattered clouds
189,Laguna,US,2021-08-10 03:25:00,38.421,-121.4238,91.31,30,1,3.0,clear sky
190,Zlynka,RU,2021-08-10 03:25:00,52.4267,31.7378,62.38,94,15,6.33,few clouds
191,Salalah,OM,2021-08-10 03:25:00,17.0151,54.0924,75.29,100,90,3.44,drizzle
192,Gobabis,NA,2021-08-10 03:25:01,-22.45,18.9667,42.24,64,35,8.1,scattered clouds
193,Saskylakh,RU,2021-08-10 03:25:01,71.9167,114.0833,71.98,57,99,2.73,overcast clouds
194,Fortuna,US,2021-08-10 03:25:02,40.5982,-124.1573,59.86,67,1,1.99,clear sky
195,Kavieng,PG,2021-08-10 03:23:12,-2.5744,150.7967,84.38,68,16,7.9,few clouds
196,Tarime,TZ,2021-08-10 03:25:02,-1.35,34.3667,60.71,81,100,2.75,overcast clouds
197,Puerto Ayora,EC,2021-08-10 03:25:04,-0.7393,-90.3518,69.17,81,35,6.71,scattered clouds
198,Riyadh,SA,2021-08-10 03:23:57,24.6877,46.7219,87.85,13,0,0.0,clear sky
199,Methoni,GR,2021-08-10 03:25:05,36.8197,21.7049,79.21,67,0,11.92,clear sky
200,Paragominas,BR,2021-08-10 03:25:05,-2.9667,-47.4833,72.55,68,0,2.75,clear sky
201,Biak,ID,2021-08-10 03:25:06,-0.9131,122.8766,82.27,68,22,6.58,few clouds
202,Kokopo,PG,2021-08-10 03:25:06,-4.352,152.2633,85.59,62,1,12.12,clear sky
203,Krasnoselkup,RU,2021-08-10 03:25:07,65.7,82.4667,60.64,66,52,13.56,broken clouds
204,Jiuquan,CN,2021-08-10 03:25:07,39.7432,98.5174,78.64,19,100,6.24,overcast clouds
205,Torbay,CA,2021-08-10 03:25:07,47.6666,-52.7314,50.77,88,1,8.05,clear sky
206,Port Macquarie,AU,2021-08-10 03:20:49,-31.4333,152.9167,69.76,48,24,12.44,few clouds
207,Banjar,ID,2021-08-10 03:25:08,-8.19,114.9675,84.06,57,15,1.12,few clouds
208,Los Llanos De Aridane,ES,2021-08-10 03:25:08,28.6585,-17.9182,67.75,85,0,3.44,clear sky
209,Peniche,PT,2021-08-10 03:25:09,39.3558,-9.3811,64.29,91,0,10.87,clear sky
210,Vikulovo,RU,2021-08-10 03:25:09,56.8167,70.6107,57.15,93,100,11.01,overcast clouds
211,Panvel,IN,2021-08-10 03:25:10,18.9833,73.1,84.18,80,100,5.26,overcast clouds
212,El Campo,US,2021-08-10 03:25:10,29.1966,-96.2697,84.72,88,28,9.28,scattered clouds
213,Raul Soares,BR,2021-08-10 03:25:10,-20.1022,-42.4519,61.92,78,23,2.82,few clouds
214,Seymchan,RU,2021-08-10 03:25:11,62.8833,152.4333,74.37,35,50,7.27,scattered clouds
215,Tezu,IN,2021-08-10 03:25:11,27.9167,96.1667,77.45,99,100,1.28,overcast clouds
216,Vanimo,PG,2021-08-10 03:25:12,-2.6741,141.3028,85.05,63,11,6.51,few clouds
217,Longyearbyen,SJ,2021-08-10 03:25:12,78.2186,15.6401,39.04,93,75,3.44,fog
218,Bambous Virieux,MU,2021-08-10 03:21:08,-20.3428,57.7575,70.21,94,20,5.75,few clouds
